PitLap,RemainingRaceTime,DeltaToBest,GainVsNoStop
25,3583.021991350932,11.664302575435613,22.79092188967161
26,3580.805773861599,9.448085086102765,25.007139379004457
27,3578.822842423774,7.465153648277919,26.990070816829302
28,3577.0731970374595,5.71550826196335,28.73971620314387
29,3575.556837702653,4.199148927156784,30.256075537950437
30,3574.273764419355,2.916075643858676,31.539148821248546
31,3573.2239771875657,1.8662884120694798,32.58893605303774
32,3572.407476007285,1.0497872317887413,33.40543723331848
33,3571.8242608785135,0.46657210301736995,33.98865236208985
34,3571.4743318012506,0.11664302575445618,34.338581439352765
35,3571.357688775496,0.0,34.45522446510722
36,3571.4743318012506,0.11664302575445618,34.338581439352765
37,3571.8242608785135,0.46657210301736995,33.98865236208985
38,3572.4074760072854,1.049787231789196,33.405437233318025
39,3573.2239771875657,1.8662884120694798,32.58893605303774
40,3574.2737644193544,2.916075643858221,31.539148821249
